Frame Number,x0,0.9999242066,y0,0.9985050093,x1,0.991843737,y1,0.9957777767,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000012,723.244,0.9632488275,471.746,0.9483708443,723.423,0.916735044,623.823,0.9357592994,608.172,634.201,571.481,807.076,566.001,948.685,822.794,613.323,854.158,791.464,823.052,943.244,723.217,943.391,649.834,943.357,650.034,1194.53,676.177,1514.32,780.865,948.49,770.674,1226.05,744.276,1530.08,691.966,440.627,739.108,440.648,665.676,476.975,775.651,477.031,817.588,1597.94,822.756,1571.96,728.661,1566.44,608.016,1571.85,602.655,1561.27,686.808
000000000013,718.094,0.9567941597,466.633,0.9407405234,723.366,0.8988236159,618.591,0.9306948062,608.066,629.026,571.328,807.127,560.984,959.012,822.791,608.34,854.17,786.168,823.059,943.219,718.111,943.249,644.934,943.182,649.843,1189.58,670.947,1519.28,775.928,943.48,770.712,1220.86,744.221,1530.19,691.782,440.469,734.06,440.497,655.458,476.908,775.526,476.881,817.714,1597.99,822.843,1571.96,728.598,1566.61,597.679,1571.66,592.332,1556.13,686.529
000000000014,712.847,0.9489008206,466.54,0.9341413269,723.277,0.8807881773,618.552,0.9268609759,608.014,629.073,566.455,807.049,560.746,964.233,817.886,608.279,854.154,786.105,822.915,943.365,718.034,943.265,644.871,943.235,644.784,1189.61,655.335,1519.56,775.894,943.468,770.681,1226.02,739.171,1535.26,686.883,440.312,733.846,440.381,655.319,471.896,770.564,471.772,817.646,1603.07,822.893,1572.1,728.433,1566.76,587.099,1566.65,581.816,1550.86,676.263
000000000015,707.536,0.9402994006,456.28,0.9264994792,723.113,0.8602607651,613.548,0.9229940412,607.894,629.028,566.361,807.024,555.797,974.66,817.79,608.233,854.132,786.295,822.753,943.216,712.916,943.206,644.833,938.244,644.603,1179.04,650.145,1519.5,775.778,943.446,770.636,1220.99,739.115,1530.15,686.695,435.428,733.707,435.458,650.315,471.891,770.453,466.758,817.855,1598,822.98,1572.02,728.301,1566.56,571.358,1561.4,566.255,1535.32,670.896
000000000016,702.393,0.9323687291,451.012,0.9187886803,717.985,0.832091758,613.442,0.9191070505,602.976,628.975,566.357,807.029,560.654,974.849,817.726,608.128,854.032,781.098,817.848,943.175,707.67,938.168,644.68,938.042,639.492,1178.98,644.776,1514.32,775.647,943.234,770.629,1226,738.955,1530.02,686.583,435.291,733.605,435.342,650.11,466.698,770.324,466.711,828.03,1597.99,828.134,1571.99,723.215,1566.47,566.071,1550.86,560.922,1530.04,655.235
000000000017,697.197,0.9237432901,445.876,0.9099918474,712.848,0.7988824351,613.256,0.9139857723,602.839,618.666,566.255,807.098,560.686,979.803,817.75,608.003,848.93,780.891,817.736,943.27,702.472,938.152,644.531,937.984,639.43,1158.07,639.391,1514.12,775.556,943.256,770.612,1225.98,738.984,1529.99,681.496,435.169,728.669,435.152,649.914,466.604,770.227,461.386,822.809,1592.85,822.961,1571.92,723.294,1566.48,560.798,1540.52,555.508,1529.73,649.967
000000000018,692.069,0.9136762976,445.689,0.900128681,702.47,0.7680347033,608.337,0.9039287941,602.613,618.537,566.146,807.098,560.773,980.122,817.662,607.91,843.81,780.934,817.57,943.226,702.34,938.144,639.559,937.983,629.107,1158.07,623.72,1508.93,775.528,943.196,770.524,1220.91,739.075,1530.08,676.206,435.087,728.384,435.015,644.857,466.567,765.131,456.213,822.853,1592.9,822.992,1571.96,723.289,1566.63,550.532,1535.26,545.126,1524.73,644.723
000000000019,691.693,0.9021871041,440.641,0.8891983427,697.302,0.7396485553,608.189,0.8937775769,597.607,613.509,566.019,807.126,560.712,980.112,817.501,602.911,833.427,775.528,812.603,943.122,697.255,938.074,639.359,937.938,623.705,1153.09,608.295,1498.56,775.477,943.157,770.457,1231.3,739.043,1530.04,665.677,430.029,723.236,429.967,644.679,456.282,759.847,450.999,817.731,1597.92,822.843,1571.97,723.176,1566.54,524.455,1529.97,524.217,1519.57,634.269
000000000020,686.682,0.8900275738,440.468,0.8792289201,697.055,0.7087214175,608.005,0.8824080205,592.387,613.391,565.943,807.064,560.955,980.18,812.507,602.685,833.295,775.53,812.442,938.227,697.086,937.845,634.17,932.8,613.47,1152.93,603.047,1503.69,770.661,938.08,770.414,1231.26,739.069,1530.18,655.357,424.847,712.855,424.695,639.61,456.112,744.307,445.619,822.795,1592.87,822.936,1571.95,723.25,1566.78,519.054,1524.74,518.818,1514.25,618.689
000000000021,686.37,0.8784877345,440.257,0.8660504371,691.988,0.6677553121,603.032,0.8709913445,581.899,608.37,561.051,801.906,561.044,974.778,812.189,597.597,828.099,775.567,812.325,938.191,692.162,937.959,628.963,937.839,608.389,1152.92,602.578,1498.54,770.556,938.178,770.26,1231.23,739.036,1530.1,650.194,419.467,702.451,419.426,634.175,445.621,739.089,440.623,822.893,1597.92,822.995,1571.95,723.232,1566.62,534.866,1530.14,519.018,1524.49,608.179
000000000022,676.216,0.864866612,435.338,0.8496603786,686.881,0.6266549028,602.864,0.8582906037,571.445,608.274,560.863,801.772,560.843,985.1,807.03,592.369,828.012,770.467,812.247,938.024,691.952,937.958,618.564,932.925,608.259,1153.06,597.479,1493.47,770.382,938.147,770.182,1231.28,738.952,1530.09,649.803,414.236,697.129,409.199,618.645,440.711,733.816,440.583,817.842,1592.87,822.782,1571.97,723.181,1566.55,545.176,1540.41,519.045,1524.9,607.937
000000000023,660.584,0.851196079,435.145,0.833181459,686.571,0.5855549837,602.725,0.84183384,566.181,608.08,555.632,796.593,545.314,974.651,801.837,587.095,822.862,770.442,812.141,937.844,686.887,937.901,608.362,932.847,608.174,1158.09,587.058,1524.54,765.244,938.062,765.192,1231.43,733.982,1530,644.61,409.019,691.762,403.816,608.312,440.407,728.618,435.254,817.862,1592.86,822.819,1571.93,718.092,1566.5,555.717,1566.52,519.176,1540.53,602.642
000000000024,650.178,0.8382569597,430.077,0.8156691096,681.398,0.5444080092,602.549,0.8241478632,560.958,607.901,529.638,796.701,534.854,974.703,791.415,576.81,817.682,770.411,812.139,932.75,686.679,937.875,608.149,932.888,608.028,1168.49,576.728,1535.12,759.969,938.046,749.513,1215.66,733.988,1530.01,634.273,403.754,686.493,398.697,602.829,440.272,723.273,434.983,822.749,1592.87,822.864,1571.94,718.053,1566.5,518.936,1561.33,508.523,1540.54,597.675
000000000025,649.754,0.8267073755,419.488,0.7991411488,665.644,0.500777884,597.462,0.8052481382,555.658,602.785,524.437,786.226,529.668,953.855,775.916,571.625,817.494,770.541,812.076,932.762,681.504,932.839,603.042,932.736,602.957,1168.51,576.63,1535.23,744.428,937.984,744.257,1220.88,734.013,1529.97,618.574,398.379,681.229,393.531,597.407,435.002,707.531,424.728,817.672,1598.06,822.826,1571.99,723.146,1566.42,519.011,1577.1,503.349,1566.55,602.734
000000000026,639.549,0.8145311005,409.038,0.7826974383,650.233,0.4571815798,592.248,0.7875111758,534.841,602.639,524.123,786.281,524.564,974.65,775.548,566.444,812.615,770.306,807.142,922.351,676.223,927.588,602.7,927.585,602.636,1168.62,571.568,1545.66,739.221,932.758,738.997,1226.22,734.025,1529.93,608.088,393.375,660.425,393.222,576.666,429.915,697.094,419.513,817.431,1598.04,822.768,1571.99,723.226,1561.45,513.697,1598.04,498.058,1572.03,602.667
000000000027,623.85,0.8030307896,398.814,0.766240734,649.914,0.4161056785,571.636,0.7698189164,524.498,592.368,518.888,786.113,524.187,964.349,770.433,566.096,812.307,759.929,807.042,906.869,665.638,917.044,597.406,911.951,597.631,1163.38,571.53,1545.68,734.056,922.324,739.128,1226.13,733.94,1529.81,602.812,388.197,649.992,387.905,566.435,419.604,691.79,403.943,812.463,1597.98,817.731,1571.99,723.175,1556.22,513.868,1608.28,503.295,1582.31,602.776
000000000028,608.36,0.7929628364,393.535,0.7508468005,644.558,0.3750400706,566.327,0.7558609324,519.091,587.091,503.383,775.549,508.654,964.163,765.031,560.849,801.86,739.139,806.94,901.638,655.169,906.791,576.723,906.803,592.411,1163.34,571.582,1545.59,733.717,911.832,738.946,1210.44,734.024,1524.5,592.354,377.593,644.622,367.083,561.065,408.998,681.516,398.484,812.219,1598.03,817.588,1572.01,723.281,1540.43,524.116,1608.44,513.684,1587.59,602.871
000000000029,603.1,0.783591984,393.072,0.7354488849,634.206,0.3341259221,561.137,0.7431290203,513.872,571.436,482.682,770.559,487.611,974.713,744.36,555.611,786.155,738.972,796.607,901.312,650.006,901.633,566.463,901.658,587.183,1152.87,571.641,1540.43,728.752,906.582,738.949,1210.49,733.853,1514.12,571.618,361.922,639.347,356.808,555.685,398.549,676.075,393.066,812.247,1592.83,817.691,1571.81,718.126,1535.11,519.125,1608.54,508.621,1587.66,603.016
000000000030,602.604,0.7749212519,377.587,0.7190795747,613.478,0.2981800358,560.758,0.730400491,498.109,566.194,482.161,765.196,482.216,948.522,738.97,539.987,780.924,728.709,786.217,896.085,644.913,901.232,566.179,901.322,576.744,1152.69,576.655,1540.38,728.397,896.327,734.053,1200.02,733.723,1498.56,566.247,356.566,618.7,351.593,539.923,393.293,655.312,382.869,807.141,1587.57,817.537,1571.67,717.964,1529.78,524.238,1608.66,513.819,1592.89,603.067
000000000031,587.128,0.764902023,362.052,0.7059046545,608.137,0.2722829204,550.471,0.7165142736,482.677,560.743,472.003,754.753,471.936,938.149,733.602,529.522,775.788,728.386,781.04,895.919,644.733,896.241,566.008,901.273,571.373,1152.73,576.595,1540.54,723.284,896.185,738.954,1199.99,728.787,1493.37,560.975,351.319,608.299,346.294,524.544,388.02,650.141,372.437,812.279,1587.63,817.674,1566.76,702.311,1524.62,519.139,1613.56,513.633,1598.06,603.029
000000000032,576.614,0.7562878385,356.709,0.6959656208,603.031,0.2464941303,534.759,0.7038633102,477.371,550.519,445.727,749.474,451.072,932.93,728.419,524.357,775.528,723.162,776.012,890.759,644.438,896.103,561.046,896.273,566.366,1152.94,571.599,1535.36,712.921,896.04,739.04,1194.9,728.36,1488.18,555.73,345.993,607.917,335.758,524.096,372.418,644.935,361.984,807.114,1587.6,812.532,1566.74,691.916,1519.29,524.198,1608.6,513.727,1592.76,602.96
000000000033,566.311,0.7490896788,351.585,0.6871348363,602.625,0.2181525868,529.533,0.6937437476,477.051,545.269,440.285,733.866,440.277,906.804,723.171,524.061,770.482,707.535,775.723,870.052,634.278,895.939,555.783,896.185,566.234,1158.07,571.607,1545.62,702.525,890.906,739.195,1194.72,718.129,1483.01,540.053,330.562,602.675,320.142,518.962,367.192,644.454,356.575,807.071,1587.52,812.399,1566.68,686.778,1503.71,524.156,1608.61,513.784,1592.83,602.858
000000000034,566.029,0.7426288346,351.214,0.6793726907,592.386,0.187467098,524.334,0.6836418247,471.759,534.866,434.929,733.713,430.005,901.641,712.787,518.972,765.205,702.346,770.634,869.919,623.795,890.793,550.508,895.973,566.172,1158.06,576.576,1545.75,697.199,885.707,739.249,1189.5,707.542,1482.63,534.687,320.062,597.542,314.963,513.641,356.698,634.287,351.41,806.951,1577.06,812.183,1561.42,686.382,1493.21,524.187,1608.71,513.798,1597.96,602.803
000000000035,561.039,0.7361810294,341.027,0.6706739404,576.701,0.1592539764,524.059,0.6747645237,456.267,529.623,419.456,728.31,403.899,896.252,697.243,513.786,754.713,692.061,770.321,859.719,613.522,875.231,545.235,885.71,561.172,1158.12,571.647,1550.85,692.083,869.979,738.988,1189.24,697.229,1477.58,529.424,314.895,592.299,314.666,498.122,356.481,618.644,351.165,791.384,1571.89,801.934,1556.1,681.287,1488.34,524.156,1608.71,513.732,1597.98,602.749
000000000036,555.759,0.7303818751,330.515,0.6640791451,566.432,0.138679999,519.03,0.6647648136,445.725,524.397,398.808,723.143,398.367,891.008,692.007,508.555,739.243,691.83,765.276,859.557,613.3,875.185,534.878,885.633,561.068,1163.31,571.584,1545.76,691.916,864.843,733.599,1178.92,691.803,1477.54,524.201,309.734,576.751,309.548,487.791,351.257,613.422,340.994,775.955,1571.8,786.123,1550.93,665.604,1493.32,519.074,1608.69,508.567,1597.91,602.701
000000000037,550.496,0.724618818,325.362,0.6596708785,566.134,0.1206362277,513.872,0.6559513051,440.511,519.09,398.44,718.006,388.068,875.145,691.74,498.188,734.076,691.717,759.975,854.384,608.264,870.038,529.628,880.455,560.995,1163.32,576.589,1550.9,691.699,864.726,728.3,1158.2,686.785,1482.72,519.176,309.554,571.488,309.412,482.547,346.165,608.349,335.708,775.695,1577.16,781.082,1561.38,655.271,1498.57,518.906,1613.7,503.382,1603.08,602.715
000000000038,540.085,0.7195674104,320.064,0.6563128079,561.087,0.1026816656,513.637,0.648380783,435.397,518.937,393.432,707.605,372.353,859.487,686.802,492.846,733.829,686.759,749.484,854.154,608.101,864.701,524.482,870.034,560.943,1168.49,571.505,1545.7,686.848,859.392,697.34,1152.99,681.32,1482.93,518.878,304.391,566.35,304.256,477.399,335.781,608.055,325.34,770.44,1577.2,775.826,1561.46,649.854,1514.11,519.102,1608.68,508.491,1592.81,597.655
000000000039,539.926,0.7159384783,314.966,0.6530188683,560.871,0.08719947063,508.461,0.6408368411,435.056,518.828,393.138,697.343,361.893,854.121,686.544,487.58,733.663,686.666,744.236,849.057,603.075,859.491,524.27,864.839,560.878,1152.86,571.499,1545.62,686.544,854.175,686.697,1147.45,660.445,1488.01,513.824,304.116,566.12,298.942,477.106,325.355,602.959,320.11,749.485,1577.18,765.172,1566.36,644.738,1519.45,519.234,1613.62,508.652,1598.06,597.636
