x,x0,0.9284272041,y0,0.9898678185,x1,0.6283676871,y1,0.9998173128,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000014,519.247,0.8790934918,477.232,0.9883875798,529.638,0.2372051854,639.545,0.9961880211,435.075,644.827,419.584,812.167,466.764,906.708,644.816,618.665,681.499,780.911,650.084,927.568,566.393,974.562,513.689,974.755,513.62,1231.37,524.327,1530.01,644.528,964.321,623.815,1205.25,607.954,1524.85,492.774,461.411,550.339,456.125,471.955,492.779,571.47,482.451,691.955,1582.33,692.082,1566.8,592.326,1561.35,492.917,1582.41,477.017,1571.77,534.889
000000000015,524.047,0.8851570028,477.195,0.9873008532,529.624,0.2721314047,639.507,0.9949607465,435.032,644.74,419.471,812.253,471.858,906.603,644.828,618.681,686.345,786.088,650.013,932.651,566.371,974.577,513.652,974.764,508.593,1231.38,524.355,1530.11,644.491,969.383,613.504,1215.7,607.936,1529.94,492.866,461.342,550.407,451.074,472.006,487.791,571.503,482.381,691.977,1582.46,691.976,1571.74,592.323,1566.45,482.525,1587.59,471.893,1571.82,539.975
000000000016,524.105,0.8912749129,477.195,0.9861629011,529.643,0.307309722,639.521,0.9925682854,435.027,644.756,419.434,812.145,471.91,906.688,644.846,618.706,686.358,786.199,649.985,932.812,566.287,974.628,508.615,974.808,508.572,1231.42,524.188,1530.05,639.614,969.431,623.748,1225.96,607.939,1529.83,492.961,456.28,550.531,451.058,476.893,487.682,571.607,482.337,691.932,1592.8,692.119,1571.87,587.198,1566.38,492.917,1587.57,477.011,1571.88,534.757
000000000017,524.202,0.8974249981,477.168,0.9839604133,529.696,0.3479815352,639.479,0.9901404111,435.094,644.662,419.458,812.224,476.946,917.115,644.875,618.677,686.423,786.279,649.956,932.939,566.325,974.596,508.634,974.766,508.577,1231.44,524.269,1530.02,644.5,969.438,629.02,1220.85,608.064,1529.93,498.099,456.253,555.554,450.991,476.978,487.715,576.637,482.229,692.052,1592.76,692.102,1571.9,592.356,1566.41,487.786,1587.53,476.908,1571.83,534.909
000000000018,524.327,0.9044050014,477.157,0.9807089439,534.704,0.3889076873,639.454,0.9865478101,435.112,644.573,419.461,812.35,477.076,932.93,644.968,623.734,686.456,791.415,649.939,937.803,566.268,974.827,508.535,979.894,508.51,1231.57,524.201,1530.07,644.452,974.661,634.16,1225.98,608.146,1530,503.387,456.169,555.728,451.015,477.046,482.65,581.927,482.245,691.904,1587.68,692.108,1571.83,597.394,1566.47,487.647,1587.62,471.973,1571.85,534.822
000000000019,524.499,0.9122130986,477.136,0.9785143369,539.905,0.4245218541,639.39,0.9829372726,435.235,644.501,424.788,817.639,476.98,943.257,649.866,618.707,686.536,796.563,650.15,937.856,566.331,974.642,513.607,974.826,508.558,1231.62,524.209,1529.99,644.461,969.491,634.25,1226.12,608.19,1529.94,508.657,451.082,560.703,450.927,477.263,482.443,592.276,477.385,691.936,1587.54,692.104,1571.78,597.472,1566.4,487.759,1587.54,476.92,1571.84,534.856
000000000020,529.554,0.9208841183,476.998,0.9752514611,540.097,0.4599746782,639.348,0.9781739662,435.311,644.487,429.881,822.849,476.844,948.645,649.959,618.645,686.645,791.498,655.151,937.762,566.506,974.683,513.843,979.894,513.626,1231.57,524.242,1530.01,644.597,969.458,634.187,1221,608.219,1529.99,513.818,450.955,560.899,445.885,482.223,482.31,597.468,482.16,691.902,1587.61,692.103,1571.81,597.524,1566.43,492.782,1582.47,476.961,1571.78,534.852
000000000021,534.79,0.9304421089,476.943,0.9720089095,550.39,0.5009960673,634.352,0.9733957127,440.262,639.52,430.034,817.771,466.559,953.894,650.058,618.635,686.738,791.455,655.265,937.793,566.495,974.573,513.802,979.813,513.677,1231.5,524.214,1529.91,644.601,964.317,634.31,1226.07,608.179,1529.93,518.93,450.882,561.126,445.811,482.55,482.254,597.637,477.294,691.699,1587.61,692.041,1571.79,597.469,1566.39,487.747,1582.45,476.944,1571.76,534.829
000000000022,545.172,0.9400078945,476.862,0.9677254647,555.632,0.5363659791,634.3,0.9685960733,440.407,639.437,435.011,817.691,456.181,969.372,650.219,618.591,686.885,791.476,660.487,932.857,566.435,974.633,513.68,979.844,513.729,1231.47,524.235,1530.06,644.559,969.414,639.334,1225.98,608.149,1529.9,519.178,445.807,566.105,445.769,487.554,477.322,602.697,477.277,692.09,1587.64,697.069,1571.85,597.429,1566.39,487.654,1582.45,476.888,1571.77,534.912
000000000023,550.56,0.948684719,471.941,0.963425636,560.659,0.5717168435,634.237,0.9637985034,440.59,634.356,435.172,817.428,445.764,969.511,655.206,618.586,691.681,791.488,665.817,932.792,566.447,969.554,513.594,974.804,513.723,1231.51,524.238,1529.92,644.616,964.269,639.4,1226.02,608.105,1529.98,524.216,445.751,566.377,445.776,492.861,477.355,602.932,482.151,691.781,1592.72,692.09,1571.85,592.419,1566.45,487.537,1582.43,471.913,1571.73,534.862
000000000024,555.807,0.9564969624,471.992,0.9580334811,560.81,0.6071181275,634.208,0.9589735689,445.613,639.35,435.279,817.604,440.774,969.505,660.425,618.481,691.945,791.359,676.254,932.696,566.453,964.299,513.599,974.621,513.845,1231.53,524.298,1529.92,644.629,958.969,644.419,1226.02,608.071,1529.96,524.466,445.719,576.574,445.71,498.109,477.264,608.026,477.238,686.833,1592.82,692.013,1571.9,592.428,1566.41,487.729,1582.32,476.904,1571.7,534.893
000000000025,560.935,0.9634454541,471.708,0.9525672879,561.021,0.6424454628,629.103,0.9530154116,450.879,634.262,435.237,817.453,440.638,969.39,665.779,618.514,697.037,796.566,686.384,932.879,566.449,969.464,508.613,974.728,518.801,1231.43,524.454,1529.84,644.677,964.193,639.514,1220.97,608.149,1529.91,529.657,440.638,587.049,440.694,508.449,477.068,608.277,477.153,691.95,1592.81,692.158,1571.89,597.44,1566.33,503.301,1582.44,477.189,1571.74,540.049
000000000026,561.187,0.9695315208,466.575,0.9461155746,565.943,0.6832281991,628.963,0.948180589,450.982,629.124,435.149,812.292,440.271,958.951,681.218,618.501,697.187,796.692,686.572,937.831,571.351,964.326,513.651,969.562,518.964,1231.17,529.485,1529.95,644.753,964.2,639.517,1226,608.211,1529.92,539.992,440.461,597.422,440.601,513.698,476.889,613.375,477.141,686.772,1592.9,692.073,1571.96,597.584,1561.48,482.532,1582.42,471.989,1571.63,550.475
000000000027,566.288,0.9755714809,461.49,0.9406904447,566.223,0.7185241622,623.856,0.9433358782,461.475,623.861,435.131,807.136,435.191,953.798,681.51,618.567,702.425,796.6,686.724,937.898,571.441,964.326,513.711,969.521,519.191,1226.13,529.596,1529.91,644.834,964.257,639.558,1226.24,608.264,1529.98,550.531,440.427,602.569,440.49,518.877,476.853,618.709,476.98,691.833,1592.83,697.046,1571.88,597.664,1566.38,487.573,1582.47,476.923,1571.64,550.504
000000000028,571.406,0.9807488502,466.575,0.9363047563,566.49,0.7535388959,623.753,0.9385114035,471.818,618.674,435.145,807.132,435.093,953.77,686.563,618.556,707.557,801.784,686.899,938.179,571.558,964.233,513.83,969.454,524.282,1226.15,529.648,1529.98,644.882,959.077,644.509,1226.08,608.238,1529.82,555.784,440.368,602.842,440.447,519.226,471.901,639.339,476.95,686.821,1592.7,692.012,1571.83,597.657,1561.27,487.667,1582.48,477.048,1571.67,550.558
000000000029,576.781,0.9842217693,461.403,0.9298488952,571.547,0.7882264624,618.676,0.9336871588,471.98,618.514,435.177,801.963,435.087,953.727,686.853,618.532,712.74,796.725,691.955,938.213,576.69,953.782,518.796,959.028,524.522,1205.35,529.722,1529.89,649.753,953.731,644.557,1220.79,608.259,1529.89,560.95,440.304,607.891,440.448,524.411,476.914,639.61,477.055,686.552,1587.62,691.874,1571.81,597.684,1561.42,487.704,1582.45,477.065,1571.64,555.582
000000000030,587.184,0.9859421412,461.363,0.9244210692,576.709,0.8115550526,618.569,0.9299890081,476.937,613.454,435.303,801.876,435.177,953.795,691.824,618.5,718.009,807.025,692.116,943.143,581.889,948.693,518.949,953.796,529.559,1194.91,529.739,1524.73,649.832,953.754,644.61,1220.91,608.251,1529.78,561.195,440.235,608.124,440.366,529.426,471.822,644.723,476.909,686.849,1587.66,691.951,1571.85,597.61,1561.26,487.796,1577.13,477.176,1566.64,550.524
000000000031,592.467,0.9850541752,456.289,0.9189772741,581.958,0.8233162654,613.48,0.9251801704,477.033,613.285,435.446,791.518,435.218,953.74,691.948,613.48,718.065,801.802,697.041,943.201,587.135,948.476,519.082,948.54,534.749,1189.69,534.757,1524.55,649.952,948.623,644.616,1215.74,608.337,1529.87,566.101,435.479,608.346,440.315,529.592,471.807,644.94,476.854,691.724,1587.66,691.963,1571.84,597.672,1561.32,482.6,1577.05,477.076,1566.49,555.665
000000000032,597.489,0.9824267644,456.129,0.9135185469,587.183,0.8233185062,613.437,0.9215167431,477.157,613.279,435.471,796.674,435.288,953.714,692.028,613.405,718.178,796.664,697.242,943.165,592.348,943.445,519.221,943.463,540.067,1189.4,534.769,1519.33,650.074,948.548,644.658,1215.58,608.261,1529.86,566.18,435.33,613.344,435.447,529.594,466.744,649.882,471.886,686.826,1592.76,691.898,1571.9,597.546,1561.25,508.499,1571.99,482.379,1566.35,555.551
000000000033,597.664,0.9772842238,445.941,0.907006483,592.255,0.8115449687,613.255,0.916673872,477.214,608.303,440.316,796.643,435.296,953.735,692.069,608.375,723.165,801.945,697.276,943.387,592.335,943.403,519.208,943.383,539.979,1189.33,534.771,1514.17,650.087,948.533,644.658,1215.77,608.289,1529.78,566.288,435.214,613.443,435.294,529.724,466.623,649.941,471.706,686.731,1592.78,691.871,1571.92,597.557,1556.19,503.329,1571.75,482.375,1561.33,555.579
000000000034,597.703,0.9720610796,445.635,0.8993595779,592.34,0.7882701594,608.298,0.9094817714,477.26,608.195,440.481,791.362,435.389,953.749,692.131,608.218,723.261,801.839,702.31,943.287,592.385,943.305,519.235,943.242,534.865,1184.35,534.826,1514.31,650.124,948.477,644.651,1210.52,608.344,1524.88,566.283,434.991,613.515,435.068,534.731,461.503,649.963,466.558,686.528,1587.57,691.715,1571.86,597.672,1556.08,498.163,1571.81,482.391,1561.43,555.663
000000000035,597.631,0.9659866225,440.599,0.8896485145,597.42,0.7591825302,608.078,0.9010400905,477.361,607.984,440.585,781.072,440.297,948.68,697.043,607.996,723.398,786.227,702.458,943.196,597.411,943.288,524.073,943.216,534.739,1184.17,529.678,1519.34,650.216,943.547,644.705,1220.85,608.309,1529.78,566.271,429.881,613.483,430.007,534.837,456.143,650.015,456.27,686.655,1582.46,691.814,1571.74,597.564,1556.2,508.595,1571.82,482.434,1561.47,550.442
000000000036,597.605,0.9590399552,440.416,0.879884359,597.445,0.7241767599,607.895,0.8914001095,477.311,607.956,440.626,781.097,440.512,953.7,697.091,602.964,728.373,786.291,707.548,943.241,597.441,943.276,524.055,943.188,529.689,1189.31,529.527,1519.37,650.285,943.545,644.694,1226.11,608.251,1529.82,566.207,424.72,613.484,424.822,534.803,445.917,650.039,450.904,686.547,1587.63,691.821,1571.84,597.507,1561.22,513.68,1577.08,482.351,1566.62,545.163
000000000037,597.505,0.9503576576,440.343,0.870062549,597.474,0.683456768,602.876,0.8805947119,477.344,602.958,440.672,780.934,440.536,953.751,697.146,602.714,728.48,780.897,707.694,943.119,597.45,943.208,524.074,938.24,529.482,1189.46,529.434,1503.77,650.29,943.473,644.755,1225.99,608.302,1524.89,566.162,419.521,613.437,424.696,534.708,440.732,649.99,445.722,686.572,1587.63,691.814,1571.84,597.527,1556.13,529.451,1571.97,498.062,1566.55,539.944
000000000038,592.346,0.9399443736,435.446,0.8559550128,597.449,0.6422852405,602.774,0.8697375743,477.301,602.918,440.649,781.009,440.495,959.034,697.16,602.572,728.588,780.914,712.825,938.313,597.454,943.227,524.039,938.242,524.563,1189.46,524.336,1503.75,655.141,943.491,644.776,1220.86,608.225,1524.92,565.979,414.312,613.328,419.477,529.734,440.599,649.941,445.652,686.643,1587.68,691.814,1571.87,592.443,1556.13,539.989,1571.97,508.562,1566.64,529.489
