Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000000,0,0,443.775,366.594,448.785,209.764,655.51,187.319,894.577,125.038,436.32,498.55,550.899,528.523,0,0,862.194,354.136,857.206,423.871,0,0,0,0,864.639,289.418,1046.52,224.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000001,0,0,443.825,364.118,463.731,219.662,670.417,189.814,902.033,127.418,448.784,488.674,570.767,526.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.329,456.242,0,0,0,0,0,0,0,0,0,0,0
000000000002,0,0,463.742,369.078,471.202,232.149,677.883,194.737,907.08,127.565,461.243,488.611,585.738,526.038,0,0,872.145,366.582,869.647,418.899,1036.52,461.198,0,0,869.645,306.846,1038.98,229.632,1265.68,274.442,0,0,0,0,0,0,441.294,458.702,0,0,0,0,0,0,0,0,0,0,0
000000000003,0,0,478.618,366.51,486.088,232.084,685.383,197.25,911.988,129.942,468.73,473.677,590.779,523.451,0,0,867.156,349.175,869.648,406.406,1026.54,446.24,0,0,867.16,286.928,1026.61,224.622,1283.05,281.946,0,0,0,0,0,0,0,0,0,0,0,0,1290.56,289.448,0,0,0,0,0
000000000004,0,0,483.657,369.157,488.668,247.03,0,0,0,0,486.136,488.557,0,0,0,0,892.059,359.133,907.01,416.396,1021.49,438.816,0,0,884.559,289.361,1021.58,232.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000005,346.742,431.348,488.604,369.024,503.536,491.117,705.17,513.51,847.253,513.559,486.104,249.546,0,0,0,0,864.675,331.74,874.652,349.142,1001.6,234.588,1220.82,289.47,849.748,286.882,1004.08,212.178,0,0,329.337,428.885,329.264,421.367,0,0,334.203,374.061,0,0,0,0,0,0,0,0,0,0,0
000000000006,359.087,428.972,493.62,351.696,503.547,486.051,707.787,513.539,852.276,526.01,491.161,247.055,695.351,202.246,904.523,144.855,867.16,324.271,882.078,366.605,1255.67,388.984,1586.91,374.027,854.717,266.978,1205.91,289.389,1504.71,324.208,339.222,433.856,344.128,423.846,0,0,341.692,366.605,1544.52,289.352,1537.06,286.921,1524.64,326.719,0,0,0,0,0
000000000007,0,0,496.078,354.16,508.52,478.614,705.361,513.567,864.633,533.425,503.505,244.566,707.755,204.658,889.656,149.832,882.104,339.172,889.577,391.473,1039,406.413,0,0,857.194,269.455,1188.41,289.49,1469.85,316.772,0,0,369.072,339.214,0,0,361.545,309.396,1527.14,291.921,1524.63,289.445,1509.68,334.22,0,0,0,0,0
000000000008,381.515,428.794,503.538,349.2,508.619,471.209,700.342,511.05,862.165,545.827,508.49,247.065,710.285,207.127,887.096,152.511,867.135,319.282,874.639,369.064,1208.36,406.372,1464.84,391.516,857.187,269.459,1195.86,304.299,1509.71,314.296,359.129,433.864,359.123,423.899,0,0,366.622,316.816,1539.56,286.872,1537.08,289.356,1519.63,324.243,0,0,0,0,1482.28
000000000009,393.957,364.062,508.531,354.111,511.111,471.219,700.291,511.134,864.615,550.95,508.639,249.49,710.299,207.289,879.579,169.744,854.729,329.266,864.639,389.037,1190.92,411.427,1462.35,391.471,847.231,269.446,1183.4,304.257,1509.68,314.328,376.547,393.978,376.532,351.695,396.463,421.369,371.601,314.329,0,0,0,0,0,0,0,0,0,0,0
000000000010,371.635,441.265,511.041,361.593,521.026,478.666,695.292,511.079,864.551,558.346,516.002,249.618,707.867,207.222,867.224,177.322,842.234,331.728,844.744,391.509,1021.53,408.895,0,0,827.343,267.023,1193.43,304.24,1517.13,321.786,369.084,433.861,361.628,426.26,0,0,356.612,391.499,0,0,0,0,1524.56,326.687,0,0,0,0,0
000000000011,388.962,446.168,511.057,354.109,523.409,468.734,692.829,510.999,859.675,563.318,521.019,249.568,717.694,207.318,867.179,189.84,837.252,346.624,847.247,398.96,1006.64,416.383,0,0,827.315,289.405,1183.38,306.796,0,0,0,0,386.466,428.851,0,0,393.99,401.425,0,0,0,0,0,0,0,0,0,0,0
000000000012,391.562,446.272,521.016,354.155,526.069,466.129,692.811,508.504,859.673,563.378,525.995,254.527,717.745,209.676,854.749,194.795,844.783,351.616,844.722,406.494,1006.66,426.371,0,0,837.272,289.406,1176,309.241,1502.15,329.145,0,0,386.463,431.323,0,0,386.543,398.977,0,0,0,0,1509.68,331.754,0,0,0,0,0
000000000013,408.99,446.3,528.503,364.02,530.98,463.637,700.278,506.041,862.136,565.794,533.468,264.52,725.229,214.679,844.723,209.712,852.225,356.604,859.696,408.901,1021.56,426.393,1387.65,428.797,847.257,301.804,1166.02,309.25,1497.26,326.668,0,0,403.879,431.425,0,0,398.944,403.896,0,0,0,0,1512.2,329.295,0,0,0,0,1407.6
000000000014,0,0,543.374,366.619,535.929,433.849,705.359,506.116,867.11,565.805,548.359,269.448,725.223,224.654,832.308,222.164,864.714,364.098,872.173,413.885,1006.57,426.39,0,0,854.741,314.303,1170.99,311.821,1494.72,326.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000015,433.809,451.225,553.332,368.994,550.935,458.704,705.326,503.521,867.13,563.291,560.812,272.045,730.276,229.62,832.359,229.641,884.634,371.554,884.584,421.401,1011.65,433.883,0,0,882.083,319.268,1166,319.29,1492.25,321.788,0,0,426.303,446.143,0,0,428.812,406.471,0,0,0,0,0,0,0,0,0,0,0
000000000016,448.805,448.691,565.704,369.085,565.768,466.129,720.222,503.566,877.13,563.251,568.244,284.407,635.576,252.127,0,0,884.611,371.554,884.572,421.404,1143.63,428.912,1312.95,428.794,882.089,319.254,1158.54,324.29,0,0,0,0,443.749,438.795,0,0,438.844,406.479,0,0,0,0,0,0,1362.85,426.399,1362.66,431.363,1342.87
000000000017,451.287,453.805,568.429,374.118,578.271,289.453,747.617,247.032,842.285,249.473,565.843,463.645,727.659,506.037,882.067,555.887,882.072,386.529,887.073,428.836,1006.58,441.271,0,0,872.161,344.194,1153.58,329.151,1444.94,326.77,0,0,446.238,446.306,0,0,448.801,413.9,0,0,0,0,0,0,0,0,0,0,0
000000000018,458.714,463.648,583.188,384.049,585.68,301.841,742.628,259.509,844.766,249.668,568.408,461.207,730.214,505.95,882.054,550.967,894.54,391.491,899.555,438.831,1121.14,433.809,1325.43,426.417,889.588,339.208,1156,334.19,1367.73,329.253,0,0,448.774,448.76,0,0,451.319,418.896,0,0,0,0,0,0,1375.23,423.897,0,0,1357.78
000000000019,466.233,458.76,585.795,388.964,588.326,309.236,747.563,267.003,844.817,259.479,570.895,468.697,742.671,506.039,884.556,548.464,882.096,403.898,882.103,446.301,1128.66,443.73,1325.42,428.794,877.116,349.13,1143.69,339.215,1387.67,329.234,0,0,0,0,0,0,528.515,426.421,0,0,0,0,1390.14,331.753,1382.65,408.895,1380.17,413.906,1350.3
000000000020,483.605,463.731,588.196,396.469,585.762,481.152,745.167,506.087,887.109,548.307,588.195,311.829,745.069,274.446,847.315,266.98,887.066,408.933,882.117,453.745,1121.2,443.73,1325.4,428.77,882.13,361.628,1141.08,346.596,1335.39,329.306,0,0,0,0,0,0,0,0,0,0,0,0,1342.82,329.289,0,0,0,0,1352.79
000000000021,473.643,468.737,588.339,401.493,0,0,0,0,0,0,588.201,486.158,742.64,506.073,877.109,535.939,887.06,409.01,869.655,466.113,1116.25,443.704,1317.95,426.283,887.045,361.579,1126.12,349.107,1312.93,336.724,466.118,466.202,466.128,461.19,0,0,468.691,426.421,0,0,0,0,1327.88,334.26,1390.12,418.858,1382.66,428.819,1342.84
