Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25
0,649.467,185.534,702.936,183.003,704.273,246.817,801.966,275.467,910.129,278.101,710.734,128.218,822.809,120.364,916.665,115.17,887.977,166.01,897.096,160.792,972.683,154.277,0,0,0,0,0,0,0,0,636.481,199.904,640.322,172.589,640.375,218.149,644.296,153.007,0,0,0,0,0,0,0,0,0,0,0,0
1,646.861,186.847,701.636,185.579,704.201,246.816,800.659,274.169,910.116,283.284,712.017,129.487,822.812,120.382,917.93,119.022,871.044,168.611,0,0,0,0,0,0,876.25,190.767,0,0,0,0,633.871,201.186,635.155,172.582,639.07,216.819,640.405,155.574,0,0,0,0,0,0,0,0,0,0,0,0
2,648.208,189.442,702.879,182.968,704.216,246.804,788.93,274.167,904.919,281.989,710.737,128.192,816.304,120.405,915.34,117.748,873.633,169.916,880.147,154.291,0,0,0,0,878.862,190.762,0,0,0,0,636.433,202.48,635.162,172.555,640.352,219.415,640.401,153.001,0,0,0,0,0,0,0,0,0,0,0,0
3,648.185,189.484,702.875,182.981,702.952,246.793,788.931,272.876,904.905,282.01,710.749,128.178,813.701,121.705,916.636,116.497,873.638,181.641,881.446,159.493,0,0,0,0,872.354,224.651,0,0,0,0,633.862,202.506,636.433,173.81,636.449,222.054,641.64,155.581,0,0,0,0,0,0,0,0,0,0,0,0
4,648.181,190.768,701.63,182.984,702.948,252.005,775.899,267.695,824.115,276.789,710.741,126.918,817.626,120.447,917.934,116.456,877.555,181.654,878.86,160.783,0,0,0,0,878.859,212.916,0,0,0,0,633.879,202.471,639.087,177.742,637.76,218.118,642.987,159.509,0,0,0,0,0,0,0,0,0,0,0,0
5,649.446,190.743,700.299,184.282,702.945,249.416,783.722,274.172,902.327,282.011,706.864,128.21,817.576,121.706,916.66,115.196,881.469,188.152,882.755,152.962,0,0,0,0,873.65,219.435,0,0,0,0,635.169,202.458,640.335,177.74,636.46,220.726,645.561,158.199,0,0,0,0,0,0,0,0,0,0,0,0
6,650.734,193.326,701.593,184.254,702.924,250.69,782.417,275.481,908.827,284.569,708.145,128.209,818.89,120.447,916.638,112.556,877.557,184.248,884.068,159.479,0,0,0,0,877.548,207.705,0,0,0,0,635.161,203.819,641.635,182.903,637.773,219.451,646.877,162.061,0,0,0,0,0,0,0,0,0,0,0,0
7,650.758,189.478,700.324,188.166,702.935,252.035,786.323,272.853,904.931,284.565,706.845,129.505,817.598,120.437,920.52,113.869,873.638,176.428,876.242,152.999,953.11,160.798,0,0,876.255,206.405,0,0,0,0,640.342,194.707,641.668,180.361,640.356,214.219,643.003,160.746,0,0,0,0,0,0,0,0,0,0,0,0
8,650.747,192.047,700.307,186.844,702.951,253.292,787.616,276.744,838.462,276.781,708.117,129.51,817.579,120.443,919.237,113.879,873.649,172.53,876.25,152.995,950.508,160.816,0,0,880.156,194.679,0,0,0,0,635.166,202.528,640.369,180.355,636.461,223.307,642.978,158.164,0,0,0,0,0,0,0,0,0,0,0,0
9,650.838,192.011,700.308,185.563,702.948,253.298,786.314,275.483,841.067,276.78,706.852,129.523,812.391,120.443,915.355,112.556,881.46,163.398,878.85,152.968,0,0,0,0,887.977,185.551,0,0,0,0,639.031,202.538,640.406,179.009,641.696,224.66,644.283,153.005,0,0,0,0,0,0,0,0,0,0,0,0
10,650.818,190.788,700.323,185.562,702.942,253.319,779.818,275.445,813.695,280.674,709.415,129.513,811.107,121.679,919.248,111.269,869.726,172.509,867.12,155.571,0,0,0,0,877.557,189.473,0,0,0,0,639.029,202.524,640.424,180.293,642.992,224.667,645.598,154.281,0,0,0,0,0,0,0,0,0,0,0,0
11,650.786,189.481,700.299,188.147,702.94,253.329,786.324,275.485,838.452,272.877,706.824,129.531,816.278,120.45,919.23,111.287,869.716,169.922,868.434,155.582,0,0,0,0,873.632,185.566,0,0,0,0,637.74,202.446,641.661,177.712,640.343,222.06,649.485,155.569,0,0,0,0,0,0,0,0,0,0,0,0
12,650.819,185.563,701.6,189.445,702.897,253.317,781.115,274.138,809.788,278.089,708.154,129.552,817.64,120.431,917.938,111.287,861.92,171.201,868.417,156.886,0,0,0,0,868.44,185.553,0,0,0,0,639.065,197.28,641.682,179.048,640.352,218.115,644.28,156.895,0,0,0,0,0,0,0,0,0,0,0,0
13,650.774,185.572,700.332,184.277,702.937,251.996,794.137,276.767,820.216,279.381,706.848,128.231,818.899,120.373,914.048,111.248,869.71,160.784,871.046,149.066,0,0,0,0,873.633,180.341,0,0,0,0,637.749,199.904,640.389,177.737,640.332,218.131,641.721,158.188,0,0,0,0,0,0,0,0,0,0,0,0
14,650.779,184.239,701.611,184.238,704.177,249.42,788.952,276.744,904.929,287.25,708.155,128.183,820.242,120.341,912.797,108.685,878.854,160.789,878.842,145.157,0,0,0,0,880.172,189.468,0,0,0,0,639.078,194.685,640.421,175.111,640.41,212.963,642.986,156.894,0,0,0,0,0,0,0,0,0,0,0,0
15,650.811,181.672,702.866,182.962,704.192,246.839,788.939,275.429,813.703,278.09,709.445,126.917,820.232,119.111,912.775,108.686,887.971,171.211,0,0,0,0,0,0,884.078,175.121,0,0,0,0,640.362,193.388,640.384,171.255,641.637,212.945,641.688,151.684,0,0,0,0,0,0,0,0,0,0,0,0
16,652.071,180.351,702.886,182.977,704.183,246.8,775.904,266.408,828.03,276.762,710.732,126.922,820.249,119.064,914.024,107.36,873.64,159.479,877.559,145.167,0,0,0,0,882.752,175.134,0,0,0,0,641.646,192.05,641.636,171.213,641.671,214.202,641.672,151.652,0,0,0,0,0,0,0,0,0,0,0,0
17,652.15,175.126,702.915,182.924,704.226,245.533,794.144,271.561,828.025,283.287,712.044,125.624,820.245,119.025,917.952,102.151,881.461,154.281,881.463,150.353,0,0,0,0,0,0,0,0,0,0,641.635,190.766,641.68,167.298,641.706,214.212,645.593,145.165,0,0,0,0,0,0,0,0,0,0,0,0
18,652.127,181.592,704.183,182.92,704.281,244.21,792.845,272.861,908.81,294.991,713.305,125.604,817.606,117.796,917.931,100.824,880.176,154.281,881.444,150.347,0,0,0,0,0,0,0,0,0,0,641.633,192.033,641.693,171.234,641.686,209.01,645.602,149.045,0,0,0,0,0,0,0,0,0,0,0,0
19,659.878,179.036,704.201,181.61,705.531,244.164,796.76,272.863,908.837,296.263,713.312,122.999,817.609,115.158,917.961,99.5372,881.453,149.054,884.058,143.856,0,0,0,0,0,0,0,0,0,0,642.994,190.788,648.16,167.325,644.29,211.609,650.819,141.284,0,0,0,0,0,0,0,0,0,0,0,0
20,659.924,182.978,704.202,182.941,705.557,244.162,791.557,267.658,911.407,296.278,713.314,122.997,817.606,112.595,912.8,98.2059,872.328,151.672,0,0,0,0,0,0,871.05,137.335,0,0,0,0,641.716,194.709,650.797,172.588,649.49,211.601,650.831,151.71,0,0,0,0,0,0,0,0,0,0,0,0
21,658.63,177.747,702.924,182.915,708.15,244.166,790.243,266.336,895.799,289.805,713.319,120.437,828.041,109.973,912.72,96.9171,833.243,189.456,807.17,219.431,0,0,0,0,822.825,162.082,0,0,0,0,641.704,192.044,650.739,169.933,641.697,209.031,650.762,147.742,0,0,0,0,0,0,0,0,0,0,0,0
22,661.247,177.746,704.21,180.347,706.846,242.876,787.629,263.724,912.76,294.971,713.314,120.424,824.123,109.982,914.036,96.9383,863.22,149.058,882.757,162.1,0,0,0,0,868.437,132.108,0,0,0,0,645.586,190.732,650.824,168.603,649.479,208.997,650.832,142.545,0,0,0,0,0,0,0,0,0,0,0,0
