Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000018,0,0,613.717,5.36108,558.884,5.35977,539.332,39.733,494.202,104.348,680.281,5.35349,729.27,100.434,696.013,221.88,621.587,200.339,601.959,196.393,633.347,351.119,682.215,488.338,639.187,208.145,586.249,351.139,588.248,509.949,0,0,0,0,0,0,0,0,529.441,537.333,545.162,541.263,602.014,523.582,619.586,492.265,623.534,490.26,695.912
000000000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.665,141.528,915.438,137.643,844.911,272.771,864.481,413.886,989.866,143.502,944.732,321.762,978.115,505.967,0,0,0,0,0,0,0,0,915.404,558.844,929.082,562.757,997.699,523.627,790.011,439.35,792.042,431.594,876.28
000000000020,0,0,611.739,5.36127,558.846,5.36161,539.244,39.7087,496.211,104.359,670.523,5.35606,729.296,98.4828,703.845,221.868,619.647,200.316,601.913,194.47,635.268,349.231,680.402,488.295,637.226,206.198,586.318,353.083,588.23,511.821,0,0,0,0,0,0,0,0,533.354,539.278,551.022,543.179,601.97,523.598,617.677,492.271,621.575,490.27,694.064
000000000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.664,139.621,915.448,135.718,844.904,272.83,864.475,413.872,989.853,145.441,944.737,321.793,978.152,507.917,0,0,0,0,0,0,0,0,915.396,556.973,929.099,562.749,997.76,527.505,790.053,441.279,792.058,433.448,878.178
000000000022,0,0,609.812,5.3613,558.887,5.36207,537.33,37.7623,494.3,104.358,676.393,5.35478,727.379,102.32,709.723,225.744,611.75,196.417,582.357,190.539,633.34,351.133,680.391,488.326,639.187,204.257,586.257,351.255,588.191,509.942,0,0,0,0,0,0,0,0,527.522,541.15,547.1,543.245,601.935,523.561,617.658,494.198,621.577,492.206,695.9
000000000023,0,0,611.722,5.36102,558.888,5.36199,539.219,35.7311,494.273,102.431,676.396,5.35233,727.278,102.396,711.642,225.851,607.843,198.372,576.514,192.492,633.215,351.188,680.36,488.29,637.224,208.131,586.261,351.257,588.16,509.958,0,0,0,0,0,0,0,0,527.511,541.172,545.162,545.131,601.898,523.6,617.63,494.17,621.57,492.186,694.051
000000000024,0,0,605.917,5.36049,556.89,5.36122,535.307,37.7204,492.309,102.399,668.597,5.35363,723.424,102.424,711.574,225.849,603.892,200.322,570.578,192.508,629.33,347.265,680.346,486.382,635.235,210.104,586.284,353.077,588.151,511.816,0,0,0,0,0,0,0,0,527.485,541.196,545.161,545.142,601.889,523.613,617.669,494.209,623.503,492.207,695.896
000000000025,0,0,603.98,5.35977,552.991,5.36132,527.537,39.6772,492.226,102.408,670.51,5.35429,725.337,102.37,707.717,227.7,601.937,200.345,568.633,194.49,619.674,347.238,680.286,482.49,633.327,208.173,586.334,353.13,588.162,511.811,0,0,0,0,0,0,0,0,527.493,541.165,545.162,545.114,601.892,523.61,617.661,494.257,623.508,492.254,694.023
000000000026,0,0,603.897,5.35929,547.103,5.35921,523.629,47.518,492.142,102.428,668.583,5.35439,723.399,102.337,699.9,225.714,601.984,196.45,570.628,194.415,605.904,341.42,680.248,480.504,633.328,204.262,586.318,351.208,588.154,511.801,0,0,0,0,0,0,0,0,527.482,541.203,545.162,545.165,601.89,523.572,617.645,496.167,623.503,492.306,693.983
000000000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.695,141.561,915.432,137.629,842.956,274.75,866.383,413.867,991.81,145.46,944.793,321.749,980.022,507.945,0,0,0,0,0,0,0,0,915.396,556.949,929.119,560.85,999.635,527.508,790.054,439.352,793.948,431.58,880.12
