Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.842,102.35,615.664,100.403,605.851,223.831,619.654,353.208,696.065,102.374,690.138,233.635,682.391,351.225,0,0,0,0,0,0,0,0,693.975,392.312,707.72,384.534,678.351,357.11,592.194,388.423,588.185,382.523,633.362
000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.867,102.382,615.684,100.42,604.001,221.861,621.505,353.206,697.884,104.316,692.023,233.646,682.387,351.202,0,0,0,0,0,0,0,0,694.007,390.389,707.749,384.493,678.343,357.065,590.255,386.499,588.17,382.474,635.238
000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.872,104.338,615.695,102.368,605.851,223.866,621.598,353.081,697.886,106.299,690.143,235.585,682.376,351.156,0,0,0,0,0,0,0,0,694.032,390.352,707.759,384.461,678.319,355.15,590.213,384.509,588.182,378.631,635.328
000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652.95,104.316,615.623,102.385,605.847,225.799,625.458,351.204,696.05,104.367,688.181,231.712,684.232,351.209,0,0,0,0,0,0,0,0,694.059,394.248,709.64,384.558,680.231,357.088,588.197,384.415,586.263,376.621,637.213
000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652.958,102.399,615.678,102.359,605.9,227.73,629.4,351.224,696.034,104.315,688.133,229.723,684.314,351.156,0,0,0,0,0,0,0,0,694.048,390.391,709.647,384.485,680.298,355.157,586.281,384.425,586.229,376.66,639.208
000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.819,98.4514,617.545,96.4996,605.92,225.782,631.35,353.092,696.023,100.379,688.152,229.691,684.305,351.212,0,0,0,0,0,0,0,0,695.938,392.354,709.665,384.529,680.268,357.098,586.289,384.433,586.248,376.678,643.066
000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652.891,102.366,615.643,100.413,605.897,225.83,631.294,351.249,695.961,102.409,684.283,231.663,684.227,351.245,0,0,0,0,0,0,0,0,694.012,394.316,707.76,386.421,680.259,359.024,586.31,384.487,586.251,378.603,641.157
000000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651.004,106.293,611.771,104.31,604.002,227.737,629.38,351.242,695.93,108.242,682.379,239.503,682.399,351.212,0,0,0,0,0,0,0,0,694.022,392.311,709.647,384.516,678.376,357.091,586.325,384.478,586.242,378.569,639.223
000000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.955,102.395,605.866,102.353,603.955,227.736,629.368,353.074,690.106,104.31,682.343,239.53,684.216,351.231,0,0,0,0,0,0,0,0,694.014,392.316,709.653,384.521,678.385,359.005,586.302,384.521,586.223,378.619,639.221
000000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.031,102.395,603.897,102.362,603.846,227.825,629.393,353.072,688.137,104.342,682.294,241.429,686.165,355.11,0,0,0,0,0,0,0,0,694.042,396.182,709.717,386.431,680.331,364.862,586.348,384.505,586.244,378.615,641.11
000000000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.081,100.453,603.836,100.428,603.835,227.71,629.403,353.083,684.233,102.399,682.24,229.762,688.15,353.139,0,0,0,0,0,0,0,0,692.047,396.211,707.737,386.476,682.248,360.996,586.291,384.525,586.191,380.495,641.123
000000000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.151,98.4649,601.978,98.4479,602.027,227.711,629.4,353.079,682.253,100.393,680.31,235.611,692.105,351.207,0,0,0,0,0,0,0,0,688.158,396.26,705.806,388.449,684.279,358.992,586.323,384.514,586.229,378.627,641.142
000000000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.294,96.5055,601.917,96.5002,601.927,227.728,629.369,353.074,680.356,98.424,680.248,231.651,695.913,353.144,0,0,0,0,0,0,0,0,684.296,396.228,703.858,390.369,694.048,360.993,586.311,384.524,586.206,378.628,641.121
000000000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635.294,96.472,599.953,96.4857,601.93,227.738,629.364,351.233,678.321,94.5488,678.373,227.71,697.895,353.215,0,0,0,0,0,0,0,0,678.295,392.351,694.061,388.396,705.808,364.882,586.316,384.518,586.219,378.616,639.221
