Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000000,0,0,447.418,434.325,434.329,317.444,683.709,221.322,935.746,109.549,444.715,561.625,657.77,634.319,0,0,863.012,379.799,943.523,488.858,1112.43,452.558,0,0,863.027,319.999,1109.79,304.481,0,0,0,0,0,0,364.165,340.873,372.02,486.403,0,0,0,0,0,0,0,0,0,0,0
000000000001,0,0,449.907,426.566,444.7,304.424,688.921,216.113,930.591,104.372,439.493,548.683,579.809,623.959,0,0,901.953,408.371,909.75,478.483,1089.03,286.288,0,0,855.19,325.269,1102,286.288,0,0,0,0,0,0,0,0,379.736,478.485,0,0,0,0,0,0,0,0,0,0,0
000000000002,0,0,455.093,421.332,447.366,294.049,691.456,213.572,927.926,96.6842,447.257,546.078,603.216,613.636,0,0,891.57,395.368,896.763,468.095,1395.52,483.725,0,0,865.591,317.451,1102.01,286.253,0,0,0,0,0,0,0,0,382.429,465.533,0,0,0,0,0,0,0,0,0,0,0
000000000003,0,0,455.163,413.56,465.445,553.854,717.603,611.053,904.624,647.388,447.357,296.611,686.333,208.337,922.8,96.6443,907.16,395.355,922.722,447.372,1117.63,426.589,0,0,868.177,314.866,1094.19,278.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000004,0,0,0,0,457.732,281.115,694.145,200.583,920.178,91.4133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000005,314.837,489.043,462.887,408.36,462.928,286.292,688.894,198.04,917.572,86.2038,465.533,551.231,621.412,595.367,0,0,873.384,369.38,891.571,434.347,1351.38,486.354,0,0,868.169,314.842,1109.77,301.914,0,0,0,0,317.469,475.908,0,0,366.798,452.513,0,0,0,0,0,0,0,0,0,0,0
000000000006,0,0,0,0,470.719,551.236,722.667,598.044,909.76,649.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000007,0,0,0,0,0,0,0,0,0,0,468.059,286.281,694.208,195.357,904.625,73.3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000008,0,0,0,0,0,0,0,0,0,0,468.09,291.483,694.052,197.844,899.395,73.3311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000009,0,0,470.743,418.763,475.938,546.063,722.69,608.386,922.821,675.956,470.708,296.658,694.066,197.923,899.293,73.3754,870.771,382.351,883.766,444.724,1130.59,486.315,0,0,863.027,320.052,1086.41,312.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
