Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000019,0,0,508.86,415.293,0,0,0,0,0,0,0,0,0,0,0,0,832.591,379.863,850.269,407.677,989.385,314.159,1201.89,352.043,827.524,331.853,1171.5,352.062,1222.02,352.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000020,0,0,508.867,410.19,513.805,311.508,678.344,261.023,860.349,180.084,496.135,501.306,587.275,554.416,0,0,847.752,382.406,850.308,433.016,994.455,475.94,0,0,840.16,329.233,1171.47,351.961,1485.12,374.788,0,0,0,0,397.655,367.226,349.494,433.01,0,0,0,0,1507.85,357.099,0,0,0,0,0
000000000021,407.669,440.573,508.87,402.6,511.392,306.514,678.354,253.398,852.798,169.906,513.923,513.954,0,0,0,0,855.363,392.51,852.803,448.121,981.761,473.425,0,0,845.255,331.802,1171.52,349.525,1480.04,372.34,379.861,445.621,389.982,420.385,397.607,349.542,387.478,367.215,0,0,0,0,1505.32,369.777,0,0,0,0,0
000000000022,405.162,435.584,516.429,407.703,516.519,506.339,708.634,529.074,857.895,554.401,513.975,304.027,675.762,245.841,850.272,154.782,842.699,377.399,842.724,430.477,1173.98,435.484,1598.88,427.95,835.12,321.72,1166.46,349.468,1467.39,374.856,382.395,438.119,382.407,425.399,0,0,392.416,362.2,0,0,0,0,1505.27,364.676,0,0,0,0,0
000000000023,397.611,435.592,516.462,400.113,518.966,501.315,708.68,531.611,855.37,562.009,516.412,303.985,675.826,235.712,840.209,147.133,852.824,377.381,840.22,435.482,979.211,460.834,0,0,842.742,316.64,1163.96,349.468,1464.9,374.828,382.378,438.023,377.362,427.915,0,0,392.586,369.743,0,0,0,0,1492.69,374.784,0,0,0,0,0
000000000024,415.369,351.982,521.504,397.545,531.581,516.396,713.699,534.217,857.88,574.646,518.966,296.44,678.311,230.725,840.11,134.57,857.828,372.291,845.242,420.344,1168.93,435.628,1525.53,432.891,850.28,314.126,1161.35,349.496,1464.84,374.882,400.123,410.136,407.709,352.066,407.662,435.521,405.146,344.46,0,0,0,0,1482.58,374.811,0,0,0,0,1548.37
000000000025,417.802,417.795,518.987,395.04,518.973,511.4,713.697,539.194,855.286,582.157,519.062,293.952,683.35,225.533,837.58,131.993,857.842,374.785,847.754,425.36,1181.62,435.615,1495.23,432.982,855.363,314.139,1161.41,351.927,1467.37,374.782,397.579,422.861,410.229,397.565,412.754,438.004,412.632,352.006,0,0,0,0,1482.59,372.282,0,0,0,0,1510.4
000000000026,422.852,420.326,519.016,382.391,516.542,496.284,701.099,539.166,847.807,594.868,524.008,291.424,678.223,228.126,837.727,129.422,847.764,367.196,845.249,415.313,1176.51,448.159,1469.92,432.935,842.691,309.032,1161.31,349.551,1449.73,374.806,400.115,427.9,410.171,400.125,0,0,415.304,344.421,0,0,0,0,1469.94,374.861,1568.54,432.978,0,0,0
000000000027,427.882,415.37,526.546,389.986,521.472,493.681,698.617,539.297,855.388,602.47,531.625,288.849,683.375,215.572,840.188,129.409,842.71,367.199,842.704,415.216,1037.44,448.156,1464.81,377.335,837.659,311.537,1156.34,351.954,1464.85,374.722,402.645,427.915,412.766,395.15,0,0,412.833,344.479,1530.68,392.463,0,0,1477.55,372.296,0,0,0,0,1500.28
000000000028,430.38,415.311,526.561,384.968,526.575,486.096,698.527,541.746,852.838,612.537,534.044,288.771,693.503,212.992,845.218,129.419,845.228,369.73,842.698,415.337,1050.07,455.7,0,0,837.635,311.558,1158.76,351.934,1472.45,372.286,412.677,415.252,415.311,402.642,427.879,433.01,422.863,346.983,1545.85,395.098,1545.85,387.45,0,0,0,0,0,0,0
000000000029,440.535,410.241,531.664,384.938,534.051,486.133,696.001,539.231,850.277,615.111,534.206,288.761,698.641,212.87,852.831,129.601,840.226,369.691,837.64,415.238,1029.85,455.76,0,0,837.649,311.607,1151.27,351.931,1462.31,372.236,422.886,417.764,432.919,392.499,438.044,435.465,430.383,344.463,0,0,0,0,1477.54,374.818,0,0,0,0,0
000000000030,443.084,357.15,534.192,382.391,531.621,481.001,695.93,544.315,852.778,617.535,536.706,288.8,701.153,212.977,852.781,139.642,855.343,372.337,857.906,430.38,1143.64,455.676,1416.85,440.615,850.276,314.101,1161.31,352.043,1477.5,372.278,432.875,405.142,435.464,374.827,433.016,427.87,430.499,347.005,1545.79,407.722,1545.86,394.993,0,0,1485.07,488.579,0,0,1447.17
000000000031,445.621,412.812,536.632,384.905,534.223,488.592,693.493,536.746,847.726,615.148,539.284,291.257,713.751,215.447,845.196,157.295,860.432,374.814,862.911,430.414,1143.6,455.676,1406.68,450.604,855.362,316.613,1158.77,351.986,1459.78,374.731,430.43,420.371,435.486,397.59,450.645,432.911,432.926,352.074,1543.27,395.036,0,0,0,0,0,0,0,0,0
