Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000000,1130.75,503.734,1021.76,506.75,1021.88,427.222,898.185,392.054,780.493,383.106,1015.86,589.158,892.284,621.576,768.742,645.056,830.521,506.85,830.538,465.549,577.286,486.229,344.824,500.835,830.526,553.815,556.838,550.821,344.839,550.926,1139.59,483.198,1142.46,515.546,1116.09,456.808,1121.88,542.074,291.952,583.321,306.564,586.255,318.433,547.934,271.27,480.219,277.165,474.348,321.309
000000000001,1130.71,503.688,1021.78,506.685,1024.63,421.392,898.184,389.08,783.308,374.272,1012.97,589.14,889.398,621.609,777.464,647.995,836.391,512.589,839.322,471.389,553.791,486.103,341.835,500.852,836.349,553.955,559.708,550.754,341.863,553.719,1139.59,483.194,1142.44,512.695,1118.93,456.775,1121.97,542.062,294.768,589.189,309.522,592.068,318.29,550.764,285.959,477.265,288.888,471.434,321.258
000000000002,1127.79,497.911,1021.79,503.874,1024.65,415.594,901.06,388.936,780.468,368.426,1018.8,583.312,892.318,621.568,780.504,648.011,836.45,509.704,839.382,468.492,568.547,483.272,341.974,500.79,836.39,553.85,568.51,550.85,341.93,551.001,1139.57,483.063,1139.61,509.667,1119.04,456.79,1119.02,536.144,291.937,589.121,306.634,592.032,318.408,550.741,286.034,474.384,288.976,468.524,324.244
000000000003,1127.82,494.984,1021.81,503.816,1021.92,415.578,898.19,386.036,777.57,368.394,1018.92,586.185,898.214,621.52,786.355,645.206,833.419,506.807,836.339,462.636,574.342,483.228,342.013,497.937,833.389,553.738,556.858,550.822,341.947,550.961,1139.58,480.336,1139.63,506.881,1119.01,456.695,1119,530.424,294.799,586.226,312.429,589.188,318.372,547.963,286.011,477.311,288.946,471.463,324.296
000000000004,1127.78,489.095,1021.79,503.742,1024.64,412.686,889.363,386.096,774.533,368.45,1018.85,586.175,895.243,618.581,789.199,645.07,833.497,506.779,836.418,462.587,565.553,483.284,341.966,500.781,833.468,553.729,550.806,550.836,341.851,550.962,1139.6,480.177,1139.63,506.727,1119,456.536,1119.03,530.359,294.777,592.113,306.622,594.948,315.47,547.979,280.138,474.402,285.939,468.483,321.307
000000000005,1127.79,486.186,1021.78,500.847,1021.88,412.643,889.393,388.897,771.669,374.265,1018.76,580.383,889.401,615.583,786.442,644.918,824.57,503.879,827.504,459.647,562.616,483.119,341.92,500.872,827.519,550.85,553.854,550.761,341.89,553.845,1139.61,480.075,1142.38,503.915,1118.95,453.73,1121.86,530.201,318.369,615.623,0,0,315.412,550.868,274.231,480.294,277.193,474.406,321.282
000000000006,1130.75,486.191,1021.85,497.915,1021.86,412.519,886.507,388.888,774.59,377.25,1018.85,577.45,898.196,606.777,789.209,639.177,833.355,503.718,833.43,459.555,556.877,480.362,344.929,497.954,833.474,547.97,565.643,550.913,341.923,553.776,1142.37,477.238,1142.53,503.832,1118.99,447.919,1121.83,527.352,291.851,594.99,303.639,595.049,318.377,550.757,285.962,483.233,286.015,480.18,330.123
000000000007,1124.87,483.359,1021.88,494.92,1021.9,409.677,886.52,388.915,777.548,383.171,1018.9,577.307,889.358,601.065,786.438,630.315,830.499,500.9,833.412,456.755,556.827,480.276,339.064,500.862,833.435,547.904,574.314,550.954,341.92,553.929,1139.58,474.326,1142.38,503.77,1119,444.909,1119,527.3,297.732,595.036,309.532,597.962,318.329,550.953,274.244,483.13,277.146,477.236,318.329
000000000008,1127.77,483.348,1021.88,492.004,1021.82,409.481,886.51,388.943,783.389,386.129,1021.7,574.394,892.292,598.103,789.265,624.623,818.756,503.876,821.678,459.587,565.6,480.258,341.867,503.659,818.767,550.843,574.456,553.785,336.052,553.851,1139.57,471.451,1142.42,503.791,1118.97,441.973,1121.87,524.447,291.851,580.289,297.765,592.044,312.508,550.977,268.326,483.17,271.329,474.326,318.39
000000000009,1127.78,483.291,1021.92,492.006,1021.85,409.502,883.581,389.016,780.474,389.074,1021.74,574.387,898.13,598.015,789.422,624.368,830.502,506.716,833.409,459.735,553.83,480.098,341.856,500.814,833.37,550.898,574.513,559.726,353.707,553.889,1139.6,471.389,1142.43,503.73,1119.01,442.016,1124.84,527.198,312.496,597.942,324.273,598.012,330.109,550.873,274.241,480.269,277.175,477.229,321.349
