Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25
17,796.492,222.985,857.536,218.229,857.549,279.331,937.425,295.002,1031.44,307.627,860.683,158.73,968.711,154.019,1058.01,158.784,1029.85,230.808,1023.6,265.27,1097.2,305.981,0,0,1036.13,193.215,1175.56,207.281,0,0,785.464,233.969,785.472,210.423,802.672,244.883,796.44,182.276,0,0,0,0,0,0,0,0,0,0,0,0
18,798.003,227.682,859.025,218.325,859.038,280.908,935.868,295.116,1014.19,307.608,862.21,160.286,968.711,154.029,1059.62,161.896,1022.05,232.361,1015.76,268.391,0,0,0,0,1037.68,194.824,1150.5,207.297,0,0,785.423,238.652,788.588,212.012,0,0,797.991,183.792,0,0,0,0,0,0,0,0,0,0,0,0
19,798.038,229.253,859.071,219.857,859.096,280.981,942.109,298.163,1043.96,315.381,866.915,160.325,971.877,154.023,1062.8,160.299,1036.14,232.406,1031.45,268.441,1097.26,306.04,0,0,1043.96,196.339,1170.87,216.713,0,0,787.051,240.233,791.675,213.561,796.44,254.308,796.479,183.792,0,0,0,0,0,0,0,0,0,0,0,0
20,799.539,230.776,859.12,219.906,860.674,282.56,945.25,299.747,1025.16,309.129,866.906,160.344,971.898,154.063,1065.88,158.746,1047.11,233.979,1040.83,268.428,1109.79,309.171,0,0,1053.35,199.486,1186.54,219.835,0,0,790.134,241.779,791.711,215.148,799.562,254.267,797.955,186.958,0,0,0,0,0,0,0,0,0,0,0,0
21,804.259,232.345,860.665,221.446,866.884,284.134,949.968,302.857,1039.26,318.51,868.458,161.904,971.931,155.632,1070.55,157.258,1050.24,238.624,1042.38,270.018,1116.03,331.087,0,0,1059.64,202.616,1183.4,219.823,0,0,793.241,243.367,793.294,218.281,805.79,254.352,798.013,193.196,0,0,0,0,0,0,0,0,0,0,0,0
22,807.311,233.985,862.246,224.527,868.475,288.796,951.526,304.435,1029.86,315.416,868.46,166.602,973.461,155.64,1073.72,157.215,1050.21,240.212,1039.28,271.548,1109.77,334.229,0,0,1058.08,204.175,1170.88,219.839,0,0,794.775,246.522,794.816,219.862,808.9,255.918,799.555,194.764,0,0,0,0,0,0,0,0,0,0,0,0
23,805.839,240.217,863.806,229.213,869.964,291.933,945.251,306.033,1031.43,318.572,868.5,168.199,978.16,157.141,1073.71,157.15,1050.22,240.211,1042.38,273.121,1105.07,348.307,0,0,1058.09,204.168,0,0,0,0,794.799,251.163,794.88,224.535,812.055,257.4,799.581,199.489,0,0,0,0,0,0,0,0,0,0,0,0
24,807.31,241.764,863.799,232.326,870.018,295.088,959.368,307.637,1036.14,318.586,869.991,171.259,979.715,157.248,1083.08,154.008,1058.09,232.379,1056.5,268.418,0,0,0,0,1058.06,194.756,1172.47,208.877,0,0,794.821,254.313,794.859,227.636,801.104,268.399,797.996,204.17,0,0,0,0,0,0,0,0,0,0,0,0
25,807.374,244.857,862.232,235.494,870.039,298.192,962.474,315.42,1068.99,331.086,868.495,172.845,975.054,161.873,1083.09,147.79,1056.48,237.085,1048.65,274.689,1111.35,307.573,0,0,1058.06,194.757,1114.48,204.194,0,0,794.868,255.912,796.358,230.855,807.342,268.437,802.665,207.282,0,0,0,0,0,0,0,0,0,0,0,0
26,805.829,248.078,860.694,237.078,870.014,304.452,957.787,320.086,1061.21,332.642,866.934,179.072,975.06,168.054,1081.56,149.338,1048.68,243.342,1047.12,279.388,0,0,0,0,1047.11,197.899,1116.03,204.184,0,0,794.795,262.126,794.821,233.95,809.019,266.88,802.651,207.361,0,0,0,0,0,0,0,0,0,0,0,0
27,798.025,255.796,860.637,243.302,868.492,306.078,959.353,321.713,1062.75,334.269,865.345,180.699,971.924,169.646,1081.57,147.779,1054.92,243.333,1048.67,280.948,0,0,0,0,1053.36,204.149,1114.48,207.341,0,0,788.556,266.863,790.13,237.086,796.403,280.935,799.572,212.015,0,0,0,0,0,0,0,0,0,0,0,0
28,796.469,255.827,859.023,244.978,865.335,310.717,960.94,324.843,1062.75,340.461,859.125,183.85,971.898,169.785,1075.32,150.886,1043.96,252.73,1042.4,287.224,1101.94,313.853,0,0,1047.09,212.011,1117.6,210.451,0,0,783.939,266.837,785.484,241.749,793.299,282.462,796.416,215.154,0,0,0,0,0,0,0,0,0,0,0,0
29,796.432,257.414,857.449,248.026,860.691,316.963,957.792,332.665,1062.76,345.204,857.566,186.929,970.373,171.279,1072.18,152.482,1045.51,254.292,1034.56,293.488,0,0,0,0,1039.28,207.337,1122.28,207.295,0,0,783.885,271.572,783.828,243.387,793.281,290.337,788.568,216.659,0,0,0,0,0,0,0,0,0,0,0,0
30,794.841,258.986,854.358,254.297,857.574,318.528,953.089,335.816,1076.88,354.559,857.483,190.095,967.211,172.882,1072.2,154.064,1054.93,254.297,1045.52,293.503,1141.1,291.931,0,0,1056.48,208.913,1145.82,207.345,0,0,782.345,274.674,782.308,244.905,787.029,293.435,788.573,221.392,0,0,0,0,0,0,0,0,0,0,0,0
31,793.279,262.161,851.248,255.921,857.487,320.164,957.777,342.051,1059.63,357.72,855.938,193.158,970.354,177.518,1072.11,155.519,1042.4,254.295,1033.03,295.036,0,0,0,0,1047.12,207.325,0,0,0,0,782.294,279.362,780.755,246.463,796.377,293.439,783.937,219.886,0,0,0,0,0,0,0,0,0,0,0,0
32,793.232,266.795,848.159,257.428,854.388,321.728,956.231,342.075,1025.16,346.745,855.915,194.731,981.28,176.005,1072.22,155.592,1047.1,255.904,1043.96,295.073,1152.06,279.393,0,0,1047.12,215.144,1174.01,268.422,0,0,782.246,280.873,779.155,248.082,791.726,295.048,783.916,226.118,0,0,0,0,0,0,0,0,0,0,0,0
33,785.488,268.418,849.661,257.448,857.443,323.259,959.344,354.576,1067.45,368.642,855.912,194.809,973.457,180.661,1075.29,157.12,1056.47,240.218,1054.94,282.521,0,0,0,0,1045.54,205.776,1156.77,196.345,0,0,777.628,280.994,774.457,252.748,785.502,295.106,782.325,224.559,0,0,0,0,0,0,0,0,0,0,0,0
34,785.432,268.376,848.135,260.569,855.911,329.519,957.79,353.039,1068.99,370.311,855.971,194.852,970.313,182.221,1075.28,158.769,1056.5,259.02,1045.52,304.452,0,0,0,0,1056.49,216.697,0,0,0,0,774.484,280.939,774.469,249.636,783.884,299.732,783.831,221.441,0,0,0,0,0,0,0,0,0,0,0,0
35,785.51,268.356,848.137,262.158,854.396,331.092,959.353,356.114,1070.62,378.104,855.971,197.891,981.294,182.275,1080,166.566,1058.06,255.869,1047.13,295.066,0,0,0,0,1059.6,219.876,1184.97,259.019,0,0,779.135,280.996,774.484,251.185,785.451,302.884,782.348,226.135,0,0,0,0,0,0,0,0,0,0,0,0
36,785.455,268.378,849.693,260.595,857.476,331.056,959.351,357.744,1073.74,381.151,855.966,196.387,971.924,185.359,1084.68,168.176,1045.55,277.794,1026.71,315.431,0,0,0,0,0,0,0,0,0,0,776.009,282.508,774.462,251.156,783.94,302.854,783.871,222.986,0,0,0,0,0,0,0,0,0,0,0,0
37,788.563,268.403,851.265,260.582,857.471,331.05,951.532,359.264,1070.53,382.723,857.533,196.378,976.583,188.521,1084.68,169.775,1064.33,252.752,1048.68,306.019,0,0,0,0,1059.6,221.427,0,0,0,0,779.196,282.455,776.076,249.606,791.722,296.647,787.004,219.901,0,0,0,0,0,0,0,0,0,0,0,0
38,791.735,266.839,854.347,260.578,857.571,332.607,964.042,357.788,1072.16,382.838,857.497,196.373,975.038,190.099,1117.56,179.116,1067.47,240.219,1050.21,316.963,1100.38,349.883,0,0,1059.66,208.913,0,0,0,0,780.727,280.958,779.205,248.088,788.57,302.881,783.936,224.533,0,0,0,0,0,0,0,0,0,0,0,0
39,793.25,266.868,854.383,262.159,859.104,332.613,970.333,359.296,1078.41,384.357,857.523,196.377,982.867,188.51,1116.02,180.633,1058.05,265.275,1039.26,315.431,0,0,0,0,1069.03,240.205,0,0,0,0,780.759,280.969,780.756,249.621,788.602,304.413,788.565,221.441,0,0,0,0,0,0,0,0,0,0,0,0
40,794.811,265.302,855.932,260.612,860.693,331.14,970.351,359.308,1079.99,384.371,859.032,194.839,978.139,191.593,1061.21,182.241,1058.06,262.153,1045.55,313.84,1148.94,309.167,0,0,1058.07,221.408,1147.36,318.557,0,0,782.35,280.929,782.282,249.587,794.875,299.74,788.589,221.439,0,0,0,0,0,0,0,0,0,0,0,0
