Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000000,398.347,396.027,433.282,344.839,449.576,479.784,633.373,498.393,833.491,556.569,430.967,242.472,649.623,193.501,784.565,181.947,821.824,309.95,826.467,365.793,0,0,0,0,812.536,270.428,1156.88,291.357,1452.37,333.209,0,0,314.612,382.046,0,0,300.609,326.181,0,0,0,0,0,0,0,0,0,0,0
000000000001,310.008,440.31,435.631,347.154,454.119,472.747,642.607,493.672,835.806,544.913,437.914,242.44,644.951,195.877,777.669,177.446,821.833,305.321,812.518,377.43,945.138,416.987,0,0,814.861,270.357,1128.98,286.648,1431.43,310.013,293.709,451.901,293.707,433.258,0,0,298.303,384.406,1457.02,375.07,0,0,1443.07,307.601,0,0,0,0,0
000000000002,319.261,437.922,437.974,354.116,456.474,472.815,647.316,489.092,826.469,521.689,442.557,247.103,645.061,195.99,789.279,177.37,821.803,326.241,812.536,398.321,924.258,435.576,0,0,819.486,270.377,1126.55,284.293,1384.88,305.331,305.27,437.891,305.331,428.596,0,0,305.247,393.7,0,0,0,0,1387.2,323.927,0,0,0,0,0
000000000003,323.976,433.198,437.986,356.464,456.521,463.548,654.305,479.833,812.481,509.962,442.616,249.385,645.012,202.953,793.943,177.318,810.183,323.919,793.899,368.115,1110.38,377.444,1391.87,361.096,838.102,288.979,1105.59,270.387,1366.25,298.323,316.899,435.484,314.622,417.036,0,0,312.29,379.756,1464.06,361.154,0,0,1403.47,302.977,1463.97,354.18,1459.36,358.832,1419.76
000000000004,328.523,421.609,442.568,347.19,454.267,461.179,528.643,491.528,0,0,447.211,247.141,642.681,209.859,800.914,175.005,835.779,268.078,845.081,249.404,1077.74,261.097,1347.71,291.37,0,0,0,0,0,0,314.604,426.256,314.652,416.883,0,0,316.919,382.084,0,0,0,0,0,0,0,0,0,0,0
000000000005,342.466,416.872,447.214,349.48,458.838,461.159,549.643,491.394,665.919,475.103,449.54,249.389,640.305,209.824,803.193,170.292,791.564,326.222,772.984,398.35,1100.99,379.727,1405.83,349.524,791.556,272.751,1070.85,261.048,1361.57,284.306,328.569,417.042,328.578,400.684,0,0,321.593,354.179,0,0,0,0,1396.53,305.279,1461.68,351.837,1457,361.105,1426.74
000000000006,363.542,398.438,456.532,361.187,470.457,461.23,645.02,472.718,0,0,456.58,251.787,640.422,209.895,805.558,161.021,798.57,328.569,789.266,386.751,1105.67,379.692,1410.48,351.807,793.926,272.763,1056.81,256.418,1317.43,277.394,344.861,402.996,351.809,382.067,347.174,419.32,342.54,321.609,0,0,0,0,0,0,0,0,0,0,1429.11
000000000007,382.022,391.397,463.541,358.782,475.212,458.851,563.495,477.438,0,0,465.803,251.844,642.617,209.917,798.541,158.725,793.921,328.559,782.253,389.042,903.258,417.005,0,0,796.237,272.736,1054.47,261.099,1324.38,267.984,361.088,396.007,365.791,377.421,368.155,409.975,354.176,323.947,1391.84,286.662,0,0,1377.89,265.751,0,0,0,0,0
000000000008,393.655,333.245,475.231,358.762,482.148,454.176,570.547,472.847,693.858,461.213,475.188,251.816,642.637,209.901,805.524,156.405,798.541,326.208,784.585,386.764,903.258,407.664,0,0,798.552,270.341,1054.5,265.683,1294.16,254.174,377.42,372.811,375.088,330.877,379.767,405.348,365.82,312.282,1349.95,270.465,1347.64,265.778,1312.74,249.43,0,0,0,0,0
000000000009,384.469,398.356,477.515,349.523,491.347,442.603,582.195,470.438,0,0,477.439,256.458,642.594,212.236,805.504,156.316,807.888,321.541,791.605,368.129,898.552,410,0,0,810.192,268.008,1061.43,268.039,1259.25,258.778,379.663,396.049,379.732,384.44,0,0,379.77,326.247,1319.72,268.062,1315.14,258.767,1277.85,247.121,0,0,0,0,0
000000000010,410.001,372.754,493.811,347.166,505.39,437.863,586.88,458.824,0,0,489.111,254.125,642.748,212.127,805.562,154.075,812.496,321.537,803.204,363.522,907.929,402.994,0,0,810.151,268.041,1061.43,268.01,1222.03,263.436,391.356,377.453,398.402,361.088,398.406,393.736,386.756,319.229,1280.15,270.343,0,0,1254.54,261.088,0,0,0,0,0
