Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.195,120.037,554.873,120.008,556.834,243.513,568.646,370.783,631.331,120.008,617.64,251.285,617.652,370.789,0,0,0,0,0,0,0,0,605.914,413.806,621.599,409.965,617.599,382.433,539.33,402.173,535.304,398.171,574.533
000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.123,125.868,554.968,123.937,556.888,243.481,568.648,370.791,631.371,125.864,617.659,251.28,617.637,368.892,0,0,0,0,0,0,0,0,607.806,413.78,623.48,409.916,617.599,378.636,539.31,402.127,535.296,398.136,574.531
000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.189,123.907,555.008,121.983,556.904,243.475,568.648,370.774,633.233,123.903,617.706,251.28,617.641,368.902,0,0,0,0,0,0,0,0,605.927,413.773,623.475,409.928,617.563,380.526,539.236,402.094,533.353,398.108,574.538
000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.179,120.047,555.004,120.003,556.908,243.489,568.664,368.841,633.217,120.051,617.666,251.295,617.621,370.743,0,0,0,0,0,0,0,0,605.867,411.942,621.573,409.916,617.563,380.532,535.335,400.232,527.552,396.207,574.574
000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.173,120.033,556.817,119.991,556.903,243.378,568.642,368.759,631.35,120.043,617.639,251.236,617.608,370.771,0,0,0,0,0,0,0,0,603.992,411.882,619.677,408.009,615.677,382.435,525.6,398.258,525.508,390.379,574.565
000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.149,120.032,556.832,119.991,556.864,241.495,568.628,366.916,631.286,120.044,617.631,249.307,617.606,370.756,0,0,0,0,0,0,0,0,605.833,411.923,621.527,409.917,615.677,380.604,523.517,398.136,523.544,386.498,574.594
000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.237,121.943,555.008,118.097,556.834,243.36,570.518,366.785,629.349,123.905,617.592,253.184,617.625,368.889,0,0,0,0,0,0,0,0,605.881,411.947,621.57,409.945,615.667,380.526,521.595,394.283,523.51,384.513,576.527
000000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.248,120.031,555.007,118.094,556.856,241.452,570.652,364.846,629.377,121.97,617.534,253.206,617.654,370.8,0,0,0,0,0,0,0,0,605.84,413.768,621.514,409.971,617.554,380.587,521.589,390.344,523.53,384.42,582.374
000000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.214,123.916,554.992,121.951,556.9,243.36,572.537,360.993,627.424,123.949,615.668,253.206,617.659,370.743,0,0,0,0,0,0,0,0,604.002,411.908,619.677,409.926,615.698,380.533,523.497,384.598,523.551,382.465,584.333
000000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.277,123.931,554.947,121.988,556.953,243.377,574.51,359.028,621.547,123.931,615.62,253.18,617.632,370.809,0,0,0,0,0,0,0,0,603.965,413.797,619.636,411.857,615.653,382.445,523.577,382.565,525.498,378.581,586.308
000000000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.208,123.933,554.892,123.929,556.955,241.462,580.413,357.062,619.608,123.916,611.764,249.339,617.601,370.823,0,0,0,0,0,0,0,0,603.937,411.943,619.603,409.981,615.663,382.489,523.646,380.573,525.631,372.723,588.311
000000000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.211,123.909,554.947,123.896,558.857,241.485,584.303,355.128,619.575,123.901,607.875,249.282,617.573,372.772,0,0,0,0,0,0,0,0,603.992,413.802,619.641,411.868,615.669,382.562,527.525,378.615,533.388,368.912,590.185
000000000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586.354,123.91,554.946,123.913,558.888,241.395,586.173,353.216,619.509,123.908,605.94,247.398,617.575,370.827,0,0,0,0,0,0,0,0,605.834,413.817,619.66,411.866,615.701,382.513,529.467,378.638,535.35,368.909,590.24
000000000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586.225,127.816,554.925,129.757,560.802,239.507,586.172,353.204,617.531,125.885,604.015,247.39,617.574,370.747,0,0,0,0,0,0,0,0,603.928,411.883,619.587,408.02,617.593,382.471,529.476,378.625,535.346,368.896,590.181
000000000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586.203,127.842,554.895,129.764,564.705,241.541,586.18,355.084,617.537,127.821,603.962,251.263,617.573,368.851,0,0,0,0,0,0,0,0,603.897,411.894,619.551,409.911,617.634,382.467,529.473,378.645,535.332,368.905,590.164
